,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
0,203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,7,12,Center,Active,N,1610612760,Thunder,OKC,thunder,Oklahoma City,steven_adams,2013,2020,N,Y,Y,2013,1,12
0,1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,3,13,Center-Forward,Active,N,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2020,N,Y,Y,2017,1,14
0,200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19T00:00:00,Texas,USA,Texas/USA,6-11,250,14,12,Center-Forward,Active,N,1610612759,Spurs,SAS,spurs,San Antonio,lamarcus_aldridge,2006,2020,N,Y,Y,2006,1,2
0,1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21T00:00:00,Tennessee,Canada,Tennessee/Canada,6-10,216,1,17,Forward-Center,Active,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019,2020,Y,Y,Y,Undrafted,Undrafted,Undrafted
0,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,1,0,Guard,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,nickeil_alexander-walker,2019,2020,Y,Y,Y,2019,1,17
0,1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,6-4,198,2,3,Guard,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,grayson_allen,2018,2020,Y,Y,Y,2018,1,21
0,1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-11,243,3,31,Center,Active,N,1610612751,Nets,BKN,nets,Brooklyn,jarrett_allen,2017,2020,N,Y,Y,2017,1,22
0,1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,kadeem-allen,1993-01-15T00:00:00,Arizona,USA,Arizona/USA,6-1,200,2,,Guard,Inactive,N,0,,,,,kadeem_allen,2017,2019,Y,Y,Y,2017,2,53
0,202329,Al-Farouq,Aminu,Al-Farouq Aminu,"Aminu, Al-Farouq",A. Aminu,al-farouq-aminu,1990-09-21T00:00:00,Wake Forest,USA,Wake Forest/USA,6-8,220,10,2,Forward,Active,N,1610612753,Magic,ORL,magic,Orlando,al-farouq_aminu,2010,2020,N,Y,Y,2010,1,8
0,1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,justin-anderson,1993-11-19T00:00:00,Virginia,USA,Virginia/USA,6-5,231,5,10,Forward-Guard,Active,N,1610612751,Nets,BKN,nets,Brooklyn,justin_anderson,2015,2020,Y,Y,Y,2015,1,21
0,203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230,6,1,Forward-Guard,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,kyle_anderson,2014,2020,Y,Y,Y,2014,1,30
0,201583,Ryan,Anderson,Ryan Anderson,"Anderson, Ryan",R. Anderson,ryan-anderson,1988-05-06T00:00:00,California,USA,California/USA,6-9,240,11,,Forward,Inactive,N,0,,,,,ryan_anderson,2008,2019,N,Y,Y,2008,1,21
0,203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,"Antetokounmpo, Giannis",G. Antetokounmpo,giannis-antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,6-11,242,7,34,Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013,2020,N,Y,Y,2013,1,15
