,PERSON_ID,PLAYER_AGE,SEASON_ID,GP,W,L,W_PCT,MIN,PLUS_MINUS,DD2,TD3,HEIGHT,WEIGHT,SEASON_EXP,POSITION,FGM,FGA,FG3M,FTM,FTA,REB,AST,TOV,STL,BLK,PTS
0,200746,25.0,2010-11,81,48,33,0.593,3211.421667,286,36,0,6-11,250,14,Center-Forward,707,1415,4,351,444,709,170,153,82,94,1769
1,200746,26.0,2011-12,55,26,29,0.473,1994.385,146,13,0,6-11,250,14,Center-Forward,483,943,2,223,274,442,134,111,51,45,1191
2,200746,27.0,2012-13,74,32,42,0.43200000000000005,2789.92,-24,38,0,6-11,250,14,Center-Forward,638,1318,2,282,348,670,192,143,62,91,1560
3,200746,28.0,2013-14,69,46,23,0.667,2498.8916670000003,368,40,0,6-11,250,14,Center-Forward,652,1423,3,296,360,765,178,123,63,68,1603
4,200746,29.0,2014-15,71,48,23,0.6759999999999999,2511.5883329999997,338,39,0,6-11,250,14,Center-Forward,659,1415,37,306,362,726,124,122,48,68,1661
5,200746,30.0,2015-16,74,61,13,0.8240000000000001,2260.86,508,26,0,6-11,250,14,Center-Forward,536,1045,0,259,302,632,110,99,38,81,1331
6,200746,31.0,2016-17,72,52,20,0.722,2335.011667,272,18,0,6-11,250,14,Center-Forward,500,1049,23,220,271,523,139,98,46,88,1243
7,200746,32.0,2017-18,75,45,30,0.6,2508.618333,281,27,0,6-11,250,14,Center-Forward,687,1347,27,334,399,635,152,111,43,90,1735
8,200746,33.0,2018-19,81,48,33,0.593,2686.65,90,32,0,6-11,250,14,Center-Forward,684,1319,10,349,412,744,194,144,43,107,1727
9,200746,34.0,2019-20,53,23,30,0.434,1753.9383329999998,-129,14,0,6-11,250,14,Center-Forward,391,793,61,158,191,392,129,74,36,87,1001
10,202329,20.0,2010-11,81,31,50,0.38299999999999995,1451.835,-184,0,0,6-8,220,10,Forward,160,406,45,92,119,267,60,103,59,25,457
11,202329,21.0,2011-12,66,21,45,0.318,1477.043333,-34,2,0,6-8,220,10,Forward,150,365,13,86,114,308,66,91,59,34,399
12,202329,22.0,2012-13,76,25,51,0.32899999999999996,2066.103333,-76,10,0,6-8,220,10,Forward,225,474,4,101,137,585,103,116,92,51,555
13,202329,23.0,2013-14,80,33,47,0.413,2045.4266670000002,-254,5,0,6-8,220,10,Forward,234,494,13,91,137,496,114,88,82,38,572
14,202329,24.0,2014-15,74,45,29,0.608,1365.788333,105,4,0,6-8,220,10,Forward,147,357,34,84,118,342,59,55,70,62,412
15,202329,25.0,2015-16,82,44,38,0.537,2340.888333,59,8,0,6-8,220,10,Forward,299,719,126,115,156,499,138,120,72,53,839
16,202329,26.0,2016-17,61,33,28,0.541,1772.9183329999998,22,4,0,6-8,220,10,Forward,183,466,70,96,136,451,99,94,60,44,532
17,202329,27.0,2017-18,69,40,29,0.58,2072.171667,220,9,0,6-8,220,10,Forward,230,582,125,59,80,525,84,79,79,40,644
18,202329,28.0,2018-19,81,52,29,0.642,2291.698333,384,12,0,6-8,220,10,Forward,257,593,96,150,173,610,104,72,68,33,760
19,202329,29.0,2019-20,18,7,11,0.389,380.0783333,-35,1,0,6-8,220,10,Forward,25,86,9,19,29,87,21,17,18,8,78
20,2546,27.0,2010-11,77,43,34,0.5579999999999999,2751.25,187,18,0,6-8,238,17,Forward,684,1503,95,507,605,563,221,206,68,46,1970
21,2546,27.0,2010-11,77,43,34,0.5579999999999999,2751.25,187,18,0,6-8,238,17,Forward,684,1503,95,507,605,563,221,206,68,46,1970
22,2546,27.0,2010-11,77,43,34,0.5579999999999999,2751.25,187,18,0,6-8,238,17,Forward,684,1503,95,507,605,563,221,206,68,46,1970
23,2546,28.0,2011-12,55,29,26,0.527,1876.1816670000003,108,8,1,6-8,238,17,Forward,441,1025,68,295,367,344,200,144,62,24,1245
24,2546,29.0,2012-13,67,47,20,0.701,2481.853333,308,10,0,6-8,238,17,Forward,669,1489,157,425,512,460,171,175,52,32,1920
25,2546,30.0,2013-14,77,35,42,0.455,2981.731667,104,22,0,6-8,238,17,Forward,743,1643,167,459,541,622,242,198,95,51,2112
26,2546,31.0,2014-15,40,10,30,0.25,1427.625,-108,5,0,6-8,238,17,Forward,358,806,61,189,237,264,122,89,40,17,966
27,2546,32.0,2015-16,72,32,40,0.444,2529.8,-43,22,0,6-8,238,17,Forward,567,1307,105,334,403,556,299,176,62,38,1573
28,2546,33.0,2016-17,74,29,45,0.392,2538.08,-233,7,0,6-8,238,17,Forward,602,1389,151,304,365,438,213,153,60,34,1659
29,2546,34.0,2017-18,78,46,32,0.59,2501.14,271,6,0,6-8,238,17,Forward,472,1168,169,148,193,453,103,99,47,49,1261
30,2546,35.0,2018-19,10,4,6,0.4,294.1416667,-63,0,0,6-8,238,17,Forward,49,121,21,15,22,54,5,8,4,7,134
31,2546,36.0,2019-20,58,28,30,0.483,1902.046667,19,5,0,6-8,238,17,Forward,336,782,87,136,161,368,85,100,49,27,895
32,2772,25.0,2010-11,75,43,32,0.573,2599.848333,9,3,0,6-8,215,16,Forward,303,762,82,138,197,408,162,118,120,31,826
33,2772,27.0,2011-12,41,12,29,0.293,1350.051667,-172,0,0,6-8,215,16,Forward,168,403,29,79,102,215,135,76,69,25,444
34,2772,28.0,2012-13,56,25,31,0.446,1470.705,-46,2,0,6-8,215,16,Forward,188,451,76,78,95,266,113,84,72,20,530
35,2772,28.0,2013-14,77,41,36,0.532,2722.54,196,11,0,6-8,215,16,Forward,389,853,180,149,193,475,191,132,126,20,1107
36,2772,29.0,2014-15,82,56,26,0.6829999999999999,2930.12,230,3,0,6-8,215,16,Forward,366,910,194,122,143,459,209,141,152,17,1048
37,2772,31.0,2015-16,81,40,41,0.494,2859.1216670000003,40,1,0,6-8,215,16,Forward,357,859,185,126,161,366,188,113,160,26,1025
38,2772,32.0,2016-17,80,53,27,0.6629999999999999,2772.61,366,3,0,6-8,215,16,Forward,326,798,191,93,126,458,175,73,147,20,936
39,2772,33.0,2017-18,67,51,16,0.7609999999999999,2269.2016670000003,373,1,0,6-8,215,16,Forward,268,651,170,76,89,294,105,52,98,13,782
40,2772,33.0,2018-19,69,22,47,0.319,2348.8666670000002,-332,5,0,6-8,215,16,Forward,294,736,145,130,164,371,252,106,91,21,863
41,2772,33.0,2018-19,69,22,47,0.319,2348.8666670000002,-332,5,0,6-8,215,16,Forward,294,736,145,130,164,371,252,106,91,21,863
42,2772,33.0,2018-19,69,22,47,0.319,2348.8666670000002,-332,5,0,6-8,215,16,Forward,294,736,145,130,164,371,252,106,91,21,863
43,2772,35.0,2019-20,53,22,31,0.415,1492.275,-10,0,0,6-8,215,16,Forward,142,324,77,62,74,246,91,56,69,15,423
44,2772,35.0,2019-20,53,22,31,0.415,1492.275,-10,0,0,6-8,215,16,Forward,142,324,77,62,74,246,91,56,69,15,423
45,2772,35.0,2019-20,53,22,31,0.415,1492.275,-10,0,0,6-8,215,16,Forward,142,324,77,62,74,246,91,56,69,15,423
46,201571,23.0,2010-11,82,34,48,0.415,2757.095,-256,7,0,5-11,183,12,Guard,399,958,111,269,297,225,498,155,54,3,1178
47,201571,24.0,2011-12,48,7,41,0.146,1408.351667,-404,6,0,5-11,183,12,Guard,183,487,61,105,120,109,307,110,36,1,532
48,201571,25.0,2012-13,76,45,31,0.5920000000000001,1226.386667,-37,0,0,5-11,183,12,Guard,103,294,67,83,99,91,170,68,34,3,356
49,201571,26.0,2013-14,71,44,27,0.62,1938.6433329999998,61,2,0,5-11,183,12,Guard,298,718,133,201,227,130,313,125,53,3,930
50,201571,26.0,2013-14,71,44,27,0.62,1938.6433329999998,61,2,0,5-11,183,12,Guard,298,718,133,201,227,130,313,125,53,3,930
51,201571,26.0,2013-14,71,44,27,0.62,1938.6433329999998,61,2,0,5-11,183,12,Guard,298,718,133,201,227,130,313,125,53,3,930
52,201571,27.0,2014-15,82,37,45,0.451,1963.785,-72,4,0,5-11,183,12,Guard,258,647,83,178,205,161,353,145,49,3,777
53,201571,27.0,2014-15,82,37,45,0.451,1963.785,-72,4,0,5-11,183,12,Guard,258,647,83,178,205,161,353,145,49,3,777
54,201571,27.0,2014-15,82,37,45,0.451,1963.785,-72,4,0,5-11,183,12,Guard,258,647,83,178,205,161,353,145,49,3,777
55,201571,28.0,2015-16,62,35,27,0.565,1177.623333,-32,2,0,5-11,183,12,Guard,148,350,68,103,128,95,198,84,38,4,467
56,201571,28.0,2015-16,62,35,27,0.565,1177.623333,-32,2,0,5-11,183,12,Guard,148,350,68,103,128,95,198,84,38,4,467
57,201571,28.0,2015-16,62,35,27,0.565,1177.623333,-32,2,0,5-11,183,12,Guard,148,350,68,103,128,95,198,84,38,4,467
58,201571,29.0,2016-17,78,29,49,0.37200000000000005,1538.255,-444,0,0,5-11,183,12,Guard,195,517,95,131,161,117,209,90,31,1,616
59,201571,30.0,2017-18,75,23,52,0.307,1760.0483329999997,-128,2,0,5-11,183,12,Guard,244,540,114,164,189,160,287,123,54,0,766
60,201571,31.0,2018-19,81,42,39,0.519,2268.961667,169,4,0,5-11,183,12,Guard,318,677,131,181,209,203,426,128,52,4,948
61,201571,32.0,2019-20,57,28,29,0.491,1420.415,76,0,0,5-11,183,12,Guard,184,461,70,161,181,122,262,86,34,1,599
62,200826,27.0,2010-11,81,56,25,0.691,1668.966667,156,3,0,5-10,180,14,Guard,285,649,66,133,157,159,317,136,30,1,769
63,200826,28.0,2011-12,41,15,26,0.366,1032.02,-94,7,1,5-10,180,14,Guard,167,418,53,76,98,114,232,103,21,0,463
64,200826,29.0,2012-13,74,29,45,0.392,1712.8333329999998,-63,1,0,5-10,180,14,Guard,316,758,97,105,134,207,294,145,32,0,834
65,200826,30.0,2013-14,79,40,39,0.506,1471.318333,-96,1,0,5-10,180,14,Guard,254,656,73,79,100,154,303,125,26,0,660
66,200826,31.0,2014-15,77,49,28,0.636,1361.685,123,0,0,5-10,180,14,Guard,225,536,54,76,94,134,263,70,33,1,580
67,200826,32.0,2015-16,74,38,36,0.514,1666.908333,-72,2,0,5-10,180,14,Guard,317,711,100,74,96,152,302,113,26,2,808
68,200826,33.0,2016-17,35,11,24,0.314,770.775,10,0,0,5-10,180,14,Guard,142,343,53,44,51,84,193,63,14,1,381
69,200826,34.0,2017-18,69,23,46,0.33299999999999996,1603.261667,18,6,0,5-10,180,14,Guard,303,690,115,80,102,201,434,143,35,3,801
70,200826,35.0,2018-19,38,20,18,0.526,751.8083333,58,3,0,5-10,180,14,Guard,161,385,38,55,78,95,211,72,22,1,415
71,200826,36.0,2019-20,29,15,14,0.517,449.68166669999994,20,0,0,5-10,180,14,Guard,85,207,32,20,22,53,112,38,5,2,222
72,201587,22.0,2010-11,80,47,33,0.588,2521.8466670000003,49,6,0,6-9,230,12,Guard-Forward,367,807,118,138,164,361,123,83,68,49,990
73,201587,23.0,2011-12,59,27,32,0.45799999999999996,1790.9,-59,2,0,6-9,230,12,Guard-Forward,289,641,107,133,159,271,84,90,57,60,818
