,PERSON_ID,DISPLAY_FIRST_LAST,HEIGHT,WEIGHT,POSITION,TEAM_NAME,GROUP_VALUE,FGM,FGA,FG3M,FTM,FTA,REB,AST,TOV,STL,BLK,PTS
1261,203932,Aaron Gordon,6-8,235,Forward,Magic,2014-15,93.0,208.0,13.0,44.0,61.0,169.0,33.0,38.0,21.0,22.0,243.0
1262,203932,Aaron Gordon,6-8,235,Forward,Magic,2015-16,274.0,579.0,42.0,129.0,193.0,507.0,128.0,66.0,59.0,55.0,719.0
1263,203932,Aaron Gordon,6-8,235,Forward,Magic,2016-17,393.0,865.0,77.0,156.0,217.0,405.0,150.0,89.0,65.0,40.0,1019.0
1264,203932,Aaron Gordon,6-8,235,Forward,Magic,2017-18,375.0,865.0,115.0,157.0,225.0,457.0,136.0,107.0,59.0,45.0,1022.0
1265,203932,Aaron Gordon,6-8,235,Forward,Magic,2018-19,470.0,1046.0,121.0,185.0,253.0,574.0,289.0,162.0,57.0,56.0,1246.0
1266,203932,Aaron Gordon,6-8,235,Forward,Magic,2019-20,335.0,767.0,73.0,151.0,224.0,475.0,228.0,100.0,51.0,39.0,894.0
167,203932,Aaron Gordon,6-8,235,Forward,Magic,2020-21,246.0,550.0,55.0,106.0,151.0,364.0,147.0,85.0,38.0,37.0,652.0
1464,1628988,Aaron Holiday,6-0,185,Guard,Pacers,2018-19,105.0,262.0,43.0,41.0,50.0,67.0,87.0,40.0,21.0,13.0,294.0
1465,1628988,Aaron Holiday,6-0,185,Guard,Pacers,2019-20,233.0,563.0,87.0,74.0,87.0,156.0,225.0,88.0,55.0,16.0,627.0
207,1628988,Aaron Holiday,6-0,185,Guard,Pacers,2020-21,102.0,224.0,28.0,12.0,10.0,77.0,136.0,38.0,34.0,8.0,244.0
2080,1627846,Abdel Nader,6-5,225,Forward,Suns,2017-18,50.0,149.0,23.0,23.0,39.0,71.0,26.0,34.0,15.0,10.0,146.0
2081,1627846,Abdel Nader,6-5,225,Forward,Suns,2018-19,91.0,215.0,32.0,27.0,36.0,116.0,20.0,26.0,20.0,12.0,241.0
2082,1627846,Abdel Nader,6-5,225,Forward,Suns,2019-20,123.0,263.0,48.0,51.0,66.0,100.0,38.0,43.0,23.0,20.0,345.0
339,1627846,Abdel Nader,6-5,225,Forward,Suns,2020-21,149.0,305.0,54.0,55.0,66.0,126.0,35.0,39.0,26.0,22.0,407.0
2017,1629690,Adam Mokoka,6-5,190,Guard,Bulls,2019-20,12.0,28.0,6.0,2.0,4.0,10.0,4.0,2.0,4.0,0.0,32.0
323,1629690,Adam Mokoka,6-5,190,Guard,Bulls,2020-21,208.0,483.0,66.0,91.0,114.0,155.0,161.0,79.0,45.0,13.0,572.0
2378,1629678,Admiral Schofield,6-5,241,Guard-Forward,Wizards,2019-20,35.0,92.0,19.0,10.0,15.0,47.0,15.0,7.0,8.0,4.0,99.0
410,1629678,Admiral Schofield,6-5,241,Guard-Forward,Wizards,2020-21,268.0,616.0,85.0,122.0,151.0,195.0,207.0,100.0,57.0,17.0,744.0
1499,201143,Al Horford,6-9,240,Center-Forward,76ers,2010-11,513.0,921.0,2.0,150.0,188.0,718.0,266.0,119.0,59.0,80.0,1178.0
1500,201143,Al Horford,6-9,240,Center-Forward,76ers,2011-12,57.0,103.0,0.0,22.0,30.0,77.0,24.0,16.0,10.0,14.0,136.0
1501,201143,Al Horford,6-9,240,Center-Forward,76ers,2012-13,576.0,1060.0,3.0,134.0,208.0,757.0,240.0,147.0,78.0,78.0,1289.0
1502,201143,Al Horford,6-9,240,Center-Forward,76ers,2013-14,238.0,420.0,4.0,58.0,85.0,244.0,76.0,64.0,27.0,44.0,538.0
1503,201143,Al Horford,6-9,240,Center-Forward,76ers,2014-15,519.0,965.0,11.0,107.0,141.0,544.0,244.0,100.0,68.0,98.0,1156.0
1504,201143,Al Horford,6-9,240,Center-Forward,76ers,2015-16,529.0,1048.0,88.0,103.0,129.0,596.0,263.0,107.0,68.0,121.0,1249.0
1505,201143,Al Horford,6-9,240,Center-Forward,76ers,2016-17,379.0,801.0,86.0,108.0,135.0,465.0,337.0,115.0,52.0,86.0,952.0
1506,201143,Al Horford,6-9,240,Center-Forward,76ers,2017-18,368.0,753.0,97.0,94.0,120.0,531.0,339.0,132.0,43.0,78.0,927.0
1507,201143,Al Horford,6-9,240,Center-Forward,76ers,2018-19,387.0,723.0,73.0,78.0,95.0,458.0,283.0,102.0,59.0,86.0,925.0
1508,201143,Al Horford,6-9,240,Center-Forward,76ers,2019-20,319.0,709.0,99.0,61.0,80.0,456.0,270.0,80.0,52.0,61.0,798.0
213,201143,Al Horford,6-9,240,Center-Forward,76ers,2020-21,387.0,744.0,42.0,95.0,125.0,507.0,219.0,95.0,51.0,70.0,911.0
519,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2010-11,160.0,406.0,45.0,92.0,119.0,267.0,60.0,103.0,59.0,25.0,457.0
520,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2011-12,150.0,365.0,13.0,86.0,114.0,308.0,66.0,91.0,59.0,34.0,399.0
521,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2012-13,225.0,474.0,4.0,101.0,137.0,585.0,103.0,116.0,92.0,51.0,555.0
522,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2013-14,234.0,494.0,13.0,91.0,137.0,496.0,114.0,88.0,82.0,38.0,572.0
523,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2014-15,147.0,357.0,34.0,84.0,118.0,342.0,59.0,55.0,70.0,62.0,412.0
524,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2015-16,299.0,719.0,126.0,115.0,156.0,499.0,138.0,120.0,72.0,53.0,839.0
525,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2016-17,183.0,466.0,70.0,96.0,136.0,451.0,99.0,94.0,60.0,44.0,532.0
526,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2017-18,230.0,582.0,125.0,59.0,80.0,525.0,84.0,79.0,79.0,40.0,644.0
527,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2018-19,257.0,593.0,96.0,150.0,173.0,610.0,104.0,72.0,68.0,33.0,760.0
528,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2019-20,25.0,86.0,9.0,19.0,29.0,87.0,21.0,17.0,18.0,8.0,78.0
7,202329,Al-Farouq Aminu,6-8,220,Forward,Magic,2020-21,144.0,352.0,39.0,70.0,97.0,321.0,67.0,68.0,54.0,33.0,397.0
808,202692,Alec Burks,6-6,214,Guard,76ers,2011-12,153.0,357.0,15.0,104.0,143.0,132.0,55.0,51.0,27.0,5.0,425.0
809,202692,Alec Burks,6-6,214,Guard,76ers,2012-13,163.0,388.0,33.0,92.0,129.0,145.0,92.0,74.0,35.0,13.0,451.0
810,202692,Alec Burks,6-6,214,Guard,76ers,2013-14,380.0,831.0,50.0,279.0,373.0,257.0,212.0,149.0,69.0,14.0,1089.0
811,202692,Alec Burks,6-6,214,Guard,76ers,2014-15,121.0,300.0,26.0,106.0,129.0,114.0,82.0,52.0,17.0,5.0,374.0
812,202692,Alec Burks,6-6,214,Guard,76ers,2015-16,137.0,334.0,32.0,106.0,141.0,109.0,63.0,51.0,18.0,4.0,412.0
813,202692,Alec Burks,6-6,214,Guard,76ers,2016-17,99.0,248.0,25.0,60.0,78.0,120.0,30.0,35.0,18.0,5.0,283.0
814,202692,Alec Burks,6-6,214,Guard,76ers,2017-18,170.0,414.0,47.0,107.0,124.0,192.0,67.0,60.0,37.0,8.0,494.0
815,202692,Alec Burks,6-6,214,Guard,76ers,2018-19,192.0,474.0,61.0,116.0,141.0,235.0,128.0,65.0,39.0,21.0,561.0
816,202692,Alec Burks,6-6,214,Guard,76ers,2019-20,321.0,768.0,116.0,235.0,265.0,282.0,189.0,91.0,62.0,17.0,993.0
73,202692,Alec Burks,6-6,214,Guard,76ers,2020-21,202.0,496.0,69.0,141.0,159.0,204.0,116.0,64.0,41.0,12.0,615.0
2421,1629346,Alen Smailagic,6-10,215,Forward,Warriors,2019-20,20.0,40.0,3.0,16.0,19.0,27.0,13.0,11.0,3.0,4.0,59.0
422,1629346,Alen Smailagic,6-10,215,Forward,Warriors,2020-21,188.0,411.0,47.0,85.0,112.0,239.0,78.0,59.0,37.0,27.0,508.0
880,1627936,Alex Caruso,6-5,186,Guard,Lakers,2017-18,50.0,116.0,13.0,21.0,30.0,65.0,75.0,42.0,23.0,10.0,134.0
881,1627936,Alex Caruso,6-5,186,Guard,Lakers,2018-19,77.0,173.0,24.0,51.0,64.0,67.0,77.0,42.0,24.0,9.0,229.0
882,1627936,Alex Caruso,6-5,186,Guard,Lakers,2019-20,120.0,291.0,40.0,69.0,94.0,123.0,124.0,53.0,70.0,18.0,349.0
86,1627936,Alex Caruso,6-5,186,Guard,Lakers,2020-21,59.0,140.0,17.0,27.0,38.0,74.0,83.0,44.0,31.0,11.0,162.0
1788,203458,Alex Len,7-0,250,Center,Kings,2013-14,33.0,78.0,0.0,20.0,31.0,99.0,4.0,26.0,4.0,18.0,86.0
1789,203458,Alex Len,7-0,250,Center,Kings,2014-15,179.0,353.0,1.0,73.0,104.0,454.0,32.0,74.0,34.0,105.0,432.0
1790,203458,Alex Len,7-0,250,Center,Kings,2015-16,264.0,624.0,1.0,174.0,239.0,594.0,97.0,145.0,38.0,62.0,703.0
1791,203458,Alex Len,7-0,250,Center,Kings,2016-17,230.0,463.0,3.0,150.0,208.0,510.0,44.0,102.0,38.0,98.0,613.0
1792,203458,Alex Len,7-0,250,Center,Kings,2017-18,214.0,378.0,1.0,158.0,231.0,518.0,82.0,78.0,27.0,61.0,587.0
1793,203458,Alex Len,7-0,250,Center,Kings,2018-19,320.0,648.0,74.0,140.0,216.0,424.0,86.0,97.0,27.0,69.0,854.0
1794,203458,Alex Len,7-0,250,Center,Kings,2019-20,177.0,319.0,16.0,68.0,105.0,321.0,50.0,55.0,23.0,48.0,438.0
277,203458,Alex Len,7-0,250,Center,Kings,2020-21,163.0,323.0,11.0,73.0,108.0,342.0,45.0,64.0,23.0,56.0,410.0
1953,1628035,Alfonzo McKinnie,6-7,215,Forward,Cavaliers,2017-18,8.0,15.0,3.0,2.0,3.0,7.0,1.0,3.0,1.0,1.0,21.0
1954,1628035,Alfonzo McKinnie,6-7,215,Forward,Cavaliers,2018-19,134.0,275.0,42.0,27.0,48.0,247.0,31.0,30.0,18.0,15.0,337.0
1955,1628035,Alfonzo McKinnie,6-7,215,Forward,Cavaliers,2019-20,73.0,171.0,14.0,22.0,31.0,113.0,14.0,26.0,23.0,8.0,182.0
308,1628035,Alfonzo McKinnie,6-7,215,Forward,Cavaliers,2020-21,135.0,290.0,38.0,31.0,51.0,240.0,30.0,35.0,25.0,15.0,339.0
1617,1628993,Alize Johnson,6-7,212,Forward,Pacers,2018-19,4.0,16.0,1.0,4.0,8.0,19.0,1.0,0.0,1.0,3.0,13.0
1618,1628993,Alize Johnson,6-7,212,Forward,Pacers,2019-20,12.0,29.0,3.0,7.0,10.0,48.0,7.0,7.0,3.0,2.0,34.0
238,1628993,Alize Johnson,6-7,212,Forward,Pacers,2020-21,72.0,126.0,18.0,29.0,25.0,265.0,52.0,59.0,18.0,5.0,191.0
927,1629599,Amir Coffey,6-7,210,Guard-Forward,Clippers,2019-20,23.0,54.0,6.0,6.0,11.0,16.0,14.0,8.0,5.0,2.0,58.0
99,1629599,Amir Coffey,6-7,210,Guard-Forward,Clippers,2020-21,227.0,526.0,73.0,100.0,125.0,168.0,173.0,85.0,49.0,14.0,628.0
1080,203083,Andre Drummond,6-10,279,Center,Cavaliers,2012-13,208.0,342.0,1.0,59.0,159.0,457.0,30.0,57.0,59.0,95.0,476.0
1081,203083,Andre Drummond,6-10,279,Center,Cavaliers,2013-14,479.0,769.0,0.0,137.0,328.0,1071.0,35.0,110.0,101.0,131.0,1095.0
1082,203083,Andre Drummond,6-10,279,Center,Cavaliers,2014-15,494.0,961.0,0.0,142.0,365.0,1104.0,55.0,120.0,73.0,153.0,1130.0
1083,203083,Andre Drummond,6-10,279,Center,Cavaliers,2015-16,552.0,1060.0,2.0,208.0,586.0,1198.0,67.0,155.0,119.0,112.0,1314.0
1084,203083,Andre Drummond,6-10,279,Center,Cavaliers,2016-17,483.0,911.0,2.0,137.0,355.0,1115.0,90.0,152.0,124.0,89.0,1105.0
1085,203083,Andre Drummond,6-10,279,Center,Cavaliers,2017-18,466.0,881.0,0.0,239.0,395.0,1247.0,237.0,200.0,114.0,127.0,1171.0
1086,203083,Andre Drummond,6-10,279,Center,Cavaliers,2018-19,561.0,1052.0,5.0,243.0,412.0,1232.0,112.0,175.0,136.0,138.0,1370.0
1087,203083,Andre Drummond,6-10,279,Center,Cavaliers,2019-20,418.0,784.0,5.0,169.0,294.0,864.0,152.0,203.0,109.0,93.0,1010.0
130,203083,Andre Drummond,6-10,279,Center,Cavaliers,2020-21,389.0,741.0,3.0,158.0,338.0,866.0,104.0,143.0,100.0,101.0,939.0
1540,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2010-11,338.0,759.0,61.0,208.0,300.0,387.0,422.0,138.0,101.0,38.0,945.0
1541,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2011-12,287.0,632.0,76.0,121.0,196.0,381.0,339.0,115.0,107.0,30.0,771.0
1542,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2012-13,396.0,879.0,91.0,155.0,270.0,423.0,433.0,206.0,139.0,52.0,1038.0
1543,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2013-14,220.0,458.0,62.0,86.0,132.0,293.0,263.0,100.0,95.0,18.0,588.0
1544,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2014-15,231.0,496.0,74.0,68.0,114.0,257.0,228.0,88.0,89.0,25.0,604.0
1545,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2015-16,176.0,368.0,54.0,51.0,83.0,263.0,219.0,79.0,73.0,19.0,457.0
1546,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2016-17,219.0,415.0,64.0,72.0,102.0,304.0,261.0,58.0,76.0,39.0,574.0
1547,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2017-18,148.0,320.0,33.0,55.0,87.0,246.0,210.0,67.0,54.0,38.0,384.0
1548,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2018-19,151.0,302.0,48.0,39.0,67.0,252.0,216.0,52.0,61.0,51.0,389.0
1549,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2019-20,38.0,88.0,14.0,6.0,15.0,78.0,51.0,26.0,14.0,21.0,96.0
222,2738,Andre Iguodala,6-6,215,Guard-Forward,Heat,2020-21,200.0,440.0,49.0,88.0,139.0,270.0,251.0,86.0,71.0,36.0,538.0
2295,203460,Andre Roberson,6-7,210,Guard-Forward,Thunder,2013-14,33.0,68.0,2.0,7.0,10.0,94.0,15.0,19.0,19.0,10.0,75.0
2296,203460,Andre Roberson,6-7,210,Guard-Forward,Thunder,2014-15,92.0,201.0,21.0,23.0,48.0,255.0,70.0,46.0,53.0,29.0,228.0
2297,203460,Andre Roberson,6-7,210,Guard-Forward,Thunder,2015-16,136.0,274.0,32.0,33.0,54.0,251.0,47.0,35.0,53.0,42.0,337.0
2298,203460,Andre Roberson,6-7,210,Guard-Forward,Thunder,2016-17,215.0,463.0,45.0,47.0,111.0,403.0,79.0,51.0,94.0,79.0,522.0
2299,203460,Andre Roberson,6-7,210,Guard-Forward,Thunder,2017-18,87.0,162.0,8.0,12.0,38.0,185.0,46.0,30.0,45.0,35.0,194.0
2300,203460,Andre Roberson,6-7,210,Guard-Forward,Thunder,2019-20,8.0,29.0,3.0,1.0,2.0,27.0,4.0,2.0,1.0,3.0,20.0
393,203460,Andre Roberson,6-7,210,Guard-Forward,Thunder,2020-21,130.0,287.0,28.0,29.0,69.0,274.0,60.0,38.0,61.0,47.0,316.0
2647,203952,Andrew Wiggins,6-7,197,Forward,Warriors,2014-15,497.0,1137.0,39.0,354.0,466.0,374.0,170.0,177.0,86.0,50.0,1387.0
2648,203952,Andrew Wiggins,6-7,197,Forward,Warriors,2015-16,594.0,1294.0,57.0,430.0,565.0,291.0,164.0,182.0,78.0,46.0,1675.0
2649,203952,Andrew Wiggins,6-7,197,Forward,Warriors,2016-17,709.0,1570.0,103.0,412.0,542.0,328.0,189.0,187.0,82.0,30.0,1933.0
2650,203952,Andrew Wiggins,6-7,197,Forward,Warriors,2017-18,569.0,1300.0,112.0,202.0,314.0,358.0,160.0,138.0,91.0,51.0,1452.0
2651,203952,Andrew Wiggins,6-7,197,Forward,Warriors,2018-19,498.0,1209.0,118.0,207.0,296.0,352.0,184.0,138.0,70.0,48.0,1321.0
2652,203952,Andrew Wiggins,6-7,197,Forward,Warriors,2019-20,437.0,978.0,111.0,190.0,268.0,274.0,198.0,132.0,45.0,53.0,1175.0
473,203952,Andrew Wiggins,6-7,197,Forward,Warriors,2020-21,520.0,1164.0,113.0,234.0,332.0,291.0,185.0,141.0,61.0,49.0,1386.0
2419,1629014,Anfernee Simons,6-3,181,Guard,Trail Blazers,2018-19,28.0,63.0,10.0,9.0,16.0,13.0,13.0,11.0,1.0,0.0,75.0
2420,1629014,Anfernee Simons,6-3,181,Guard,Trail Blazers,2019-20,214.0,536.0,75.0,76.0,92.0,152.0,97.0,61.0,26.0,10.0,579.0
421,1629014,Anfernee Simons,6-3,181,Guard,Trail Blazers,2020-21,184.0,461.0,65.0,65.0,80.0,130.0,84.0,53.0,22.0,8.0,499.0
2719,1627790,Ante Zizic,6-10,266,Center,Cavaliers,2017-18,49.0,67.0,0.0,21.0,29.0,60.0,5.0,11.0,2.0,13.0,119.0
2720,1627790,Ante Zizic,6-10,266,Center,Cavaliers,2018-19,183.0,331.0,0.0,93.0,132.0,320.0,53.0,61.0,13.0,22.0,459.0
2721,1627790,Ante Zizic,6-10,266,Center,Cavaliers,2019-20,41.0,72.0,0.0,14.0,19.0,66.0,6.0,10.0,7.0,5.0,96.0
490,1627790,Ante Zizic,6-10,266,Center,Cavaliers,2020-21,254.0,464.0,0.0,132.0,188.0,451.0,77.0,87.0,17.0,29.0,640.0
996,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2012-13,349.0,676.0,0.0,169.0,225.0,522.0,63.0,89.0,75.0,112.0,867.0
997,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2013-14,522.0,1005.0,2.0,348.0,440.0,673.0,105.0,109.0,89.0,189.0,1394.0
998,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2014-15,642.0,1199.0,1.0,371.0,461.0,696.0,149.0,95.0,100.0,200.0,1656.0
999,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2015-16,560.0,1136.0,35.0,326.0,430.0,627.0,116.0,121.0,78.0,125.0,1481.0
1000,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2016-17,770.0,1526.0,40.0,519.0,647.0,884.0,157.0,181.0,94.0,167.0,2099.0
1001,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2017-18,780.0,1462.0,55.0,495.0,598.0,831.0,174.0,162.0,115.0,193.0,2110.0
1002,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2018-19,530.0,1026.0,48.0,344.0,433.0,672.0,218.0,112.0,88.0,135.0,1452.0
1003,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2019-20,551.0,1096.0,72.0,444.0,525.0,577.0,200.0,154.0,91.0,143.0,1618.0
113,203076,Anthony Davis,6-10,253,Forward-Center,Lakers,2020-21,416.0,805.0,30.0,259.0,323.0,532.0,127.0,104.0,83.0,127.0,1121.0
2506,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2010-11,141.0,313.0,47.0,105.0,131.0,295.0,82.0,49.0,28.0,28.0,434.0
2507,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2011-12,71.0,182.0,25.0,41.0,55.0,153.0,22.0,35.0,18.0,19.0,208.0
2508,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2012-13,82.0,216.0,45.0,44.0,51.0,155.0,32.0,36.0,15.0,12.0,253.0
2509,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2013-14,129.0,307.0,102.0,33.0,41.0,168.0,42.0,23.0,19.0,15.0,393.0
2510,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2014-15,161.0,393.0,106.0,54.0,69.0,236.0,59.0,51.0,24.0,16.0,482.0
2511,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2015-16,128.0,332.0,98.0,29.0,47.0,229.0,52.0,28.0,26.0,16.0,383.0
2512,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2016-17,155.0,351.0,90.0,61.0,82.0,237.0,77.0,56.0,34.0,20.0,461.0
2513,201229,Anthony Tolliver,6-8,240,Forward,Grizzlies,2017-18,219.0,472.0,159.0,106.0,133.0,241.0,90.0,58.0,32.0,21.0,703.0
